Cluster,Age,Income,Total_Spending,Recency,NumWebPurchases,NumStorePurchases,Total_Children,Count,Persona_Label
0,56.1,39574.1,198.6,48.7,3.1,4.1,1.2,1382,Low Engagement / At-Risk
1,58.8,71984.4,1265.2,49.8,5.7,8.6,0.5,854,High-Value Loyal Customers
